Word,W/million,logW,logW-CD
书,213.2,3.8544,3.3587
特别,212.57,3.8532,3.5413
注意,212.51,3.853,3.5507
球,212.27,3.8525,3.2463
查,212.27,3.8525,3.3736
忘,212.24,3.8525,3.5479
甚至,211.65,3.8513,3.5511
保护,211.47,3.8509,3.4616
真正,211.35,3.8506,3.5443
结果,211.2,3.8503,3.5143
表现,211.11,3.8502,3.3993
拍,210.93,3.8498,3.3608
其实,210.66,3.8492,3.5239
小心,209.32,3.8465,3.5147
进来,208.64,3.845,3.5479
路,208.46,3.8447,3.4909
呆,208.16,3.844,3.4874
四,208.04,3.8438,3.4829
久,207.65,3.843,3.5565
当时,206.73,3.841,3.4881
或,206.64,3.8409,3.5005
懂,206.37,3.8403,3.4951
只有,206.16,3.8399,3.5653
怎么办,204.82,3.837,3.5372
第,203.96,3.8352,3.5635
马,202.58,3.8323,3.436
讲,202.26,3.8315,3.4877
绝对,202.17,3.8314,3.5122
长官,202.11,3.8312,3.1313
员,201.6,3.8301,3.3385
进去,201.42,3.8298,3.5192
至少,201.21,3.8293,3.5599
律师,201.12,3.8291,3.2613
喔,199.72,3.8261,3.1838
整个,199.6,3.8258,3.5326
听到,199.57,3.8258,3.5303
表演,198.47,3.8233,3.2014
正在,198.32,3.823,3.5292
无,198.17,3.8227,3.5155
已,197.81,3.8219,3.4725
笑,197.58,3.8214,3.4519
选,197.31,3.8208,3.3845
感到,197.1,3.8203,3.4979
那边,195.91,3.8177,3.502
远,195.85,3.8176,3.539
儿,195.82,3.8175,3.4067
故事,195.28,3.8163,3.4242
疯,195.25,3.8162,3.5024
换,194.98,3.8156,3.5205
结婚,194.8,3.8152,3.3576
猜,194.39,3.8143,3.5196
咱们,194.33,3.8142,3.1906
床,193.91,3.8132,3.4426
处理,193.7,3.8128,3.5023
妻子,193.58,3.8125,3.3804
进行,193.31,3.8119,3.4806
内,191.85,3.8086,3.477
是否,191.79,3.8085,3.4706
段,191.67,3.8082,3.5097
令,191.53,3.8079,3.4501
刚刚,191.44,3.8077,3.512
案子,191.17,3.8071,3.1976
行动,190.93,3.8065,3.3923
第二,190.15,3.8048,3.5232
努力,189.59,3.8035,3.4816
害怕,189.17,3.8025,3.4784
酒,188.93,3.802,3.414
发,188.48,3.8009,3.5005
调查,188.37,3.8006,3.341
失去,188.22,3.8003,3.496
歌,188.07,3.8,3.1775
成功,187.95,3.7997,3.473
唱,187.8,3.7993,3.1553
考虑,187.65,3.799,3.4978
刚才,187.2,3.798,3.4998
约会,186.82,3.7971,3.3324
节目,186.4,3.7961,3.172
通过,185.29,3.7935,3.447
之间,185.18,3.7932,3.5132
别的,185.12,3.7931,3.5145
学,185.09,3.793,3.4804
开心,184.88,3.7925,3.4478
母亲,184.67,3.792,3.3736
辆,184.52,3.7917,3.3764
主意,183.15,3.7885,3.5061
探,183.03,3.7882,3.1735
丈夫,182.28,3.7864,3.3456
待,181.93,3.7855,3.4544
变成,181.93,3.7855,3.4969
倒,181.6,3.7848,3.5205
离,181.48,3.7845,3.5241
解释,181.48,3.7845,3.4914
往,181.33,3.7841,3.4719
万,179.78,3.7804,3.3051
联系,179.48,3.7797,3.4436
派,178.89,3.7782,3.4181
关,178.8,3.778,3.4929
证明,178.47,3.7772,3.4506
句,178.38,3.777,3.5167
五,175.96,3.7711,3.4272
生命,175.82,3.7707,3.4478
有点,175.79,3.7706,3.5061
靠,175.58,3.7701,3.4475
解决,175.52,3.77,3.4747
办公室,175.34,3.7695,3.4005
难道,175.13,3.769,3.4819
作为,174.8,3.7682,3.4891
奇怪,173.88,3.7659,3.4919
生,173.37,3.7646,3.4607
由,172.86,3.7634,3.4764
男,172.15,3.7616,3.4193
极了,172.03,3.7613,3.4081
同意,171.67,3.7603,3.4648
如,171.31,3.7594,3.4895
游戏,170.87,3.7583,3.3444
帮忙,170.66,3.7578,3.4894
指,170.48,3.7573,3.4816
危险,170.24,3.7567,3.4492
讨厌,169.65,3.7552,3.4586
曾经,169.59,3.755,3.4874
眼睛,169.11,3.7538,3.4406
外面,167.02,3.7484,3.4765
处,166.25,3.7464,3.4675
国家,166.22,3.7463,3.3098
看上去,165.92,3.7455,3.3769
总统,165.41,3.7442,2.9703
间,165.35,3.7441,3.4547
伤害,165.02,3.7432,3.4333
控制,164.99,3.7431,3.4242
最近,164.91,3.7429,3.4908
声音,164.64,3.7422,3.4201
糟,164.34,3.7414,3.47
快乐,164.1,3.7408,3.3286
偷,163.98,3.7404,3.3688
首,163.98,3.7404,3.2615
可爱,163.89,3.7402,3.4242
进入,163.65,3.7396,3.4065
能够,163.44,3.739,3.3899
事实上,162.79,3.7373,3.451
哈,162.76,3.7372,3.3381
醒,162.67,3.737,3.3324
分,162.61,3.7368,3.4087
完成,162.46,3.7364,3.4151
部,162.04,3.7353,3.3793
昨晚,161.98,3.7351,3.3959
同,161,3.7325,3.4548
医院,160.7,3.7317,3.2997
不行,160.64,3.7315,3.4336
半,160.64,3.7315,3.4649
而已,160.64,3.7315,3.4507
上面,159.87,3.7294,3.4685
样子,159.09,3.7273,3.4781
少,158.73,3.7263,3.4936
有趣,157.87,3.7239,3.4328
提,157.48,3.7229,3.4521
没关系,157.27,3.7223,3.4604
斯,156.86,3.7212,3.148
杰克,156.17,3.7192,2.6425
真的,156.05,3.7189,3.4643
部分,155.96,3.7187,3.4445
要求,155.52,3.7174,3.4363
糟糕,155.4,3.7171,3.4479
除了,153.43,3.7116,3.5065
容易,153.4,3.7115,3.486
保持,153.34,3.7113,3.4484
虽然,153.25,3.711,3.4646
办,153.19,3.7109,3.4499
教,152.83,3.7099,3.3838
想到,152.83,3.7099,3.4915
理解,152.77,3.7097,3.4499
证据,152.56,3.7091,3.2707
加,152.33,3.7084,3.4272
脸,151.82,3.707,3.4163
简单,151.7,3.7066,3.4742
不同,151.64,3.7065,3.4484
夫人,151.49,3.706,3.2281
父母,151.46,3.7059,3.3432
重,151.4,3.7058,3.4564
恩,151.22,3.7053,3.1569
曾,150.57,3.7034,3.4166
事实,149.91,3.7015,3.4286
飞机,149.64,3.7007,3.2084
家庭,149.55,3.7004,3.3865
象,149.37,3.6999,3.131
装,149.23,3.6995,3.4502
秘密,149.08,3.6991,3.3744
法,148.96,3.6987,3.4033
尸体,148.87,3.6984,3.2294
打开,148.72,3.698,3.3985
季,148.06,3.6961,3.534
检查,148.06,3.6961,3.3705
早上,147.65,3.6949,3.4448
玩笑,147.05,3.6931,3.4545
任务,146.93,3.6928,3.2672
现场,146.57,3.6917,3.2808
使,146.51,3.6915,3.4033
转,145.59,3.6888,3.4012
博士,145.5,3.6885,2.9489
直到,145.05,3.6872,3.4683
紧张,144.72,3.6862,3.3879
二,144.55,3.6857,3.3727
简直,144.37,3.6851,3.4082
放弃,143.77,3.6833,3.4023
小子,143.62,3.6829,3.2828
电视,143.56,3.6827,3.328
强,143.5,3.6825,3.3109
不好意思,143.23,3.6817,3.3674
大概,143.2,3.6816,3.4191
的确,143.17,3.6815,3.3744
特,142.85,3.6805,3.2111
药,142.73,3.6802,3.2847
回到,142.7,3.6801,3.4151
男孩,142.46,3.6793,3.3134
音乐,142.37,3.6791,3.2358
身体,142.01,3.678,3.3808
血,141.56,3.6766,3.2887
留下,140.7,3.6739,3.4451
方式,140.43,3.6731,3.4325
伤,140.37,3.6729,3.4163
怪,140.25,3.6726,3.3762
美元,140.13,3.6722,3.249
监狱,139.24,3.6694,3.2492
读,138.94,3.6685,3.3558
这边,138.64,3.6675,3.3877
重新,138.23,3.6662,3.4318
瞧,138.14,3.666,3.2995
疯狂,138.08,3.6658,3.4023
收到,137.27,3.6632,3.3481
其中,137.21,3.663,3.4317
片,137.03,3.6625,3.3838
想法,136.35,3.6603,3.4126
纽约,136.11,3.6595,3.1744
家里,136.02,3.6593,3.4221
黑,136.02,3.6593,3.3049
身,134.92,3.6557,3.4195
还要,134.86,3.6555,3.4544
作,134.17,3.6533,3.3858
后面,134.14,3.6532,3.4193
性,133.93,3.6525,3.3296
带来,133.9,3.6524,3.4244
昨天,133.64,3.6516,3.4026
不好,133.61,3.6515,3.4254
抓住,133.58,3.6514,3.3502
记录,133.55,3.6513,3.3185
