Character,CHR/million,logCHR,logCHR-CD
交,418.84,4.2927,3.7134
坐,418.71,4.2925,3.7169
停,417.67,4.2915,3.7082
卡,417.07,4.2908,3.573
尼,417.01,4.2908,3.4486
婚,416.17,4.2899,3.5508
格,415.81,4.2895,3.6286
眼,410.9,4.2844,3.7191
金,410.11,4.2835,3.6437
蛋,408.51,4.2818,3.6465
息,407.89,4.2812,3.7163
室,407.83,4.2811,3.6825
内,407.14,4.2804,3.7032
运,404.88,4.278,3.7155
根,403.58,4.2766,3.7223
单,403.36,4.2763,3.7244
宝,402.6,4.2755,3.6243
哥,402.32,4.2752,3.567
张,400.05,4.2727,3.7067
搞,397.07,4.2695,3.7007
战,395.19,4.2674,3.5827
火,394.5,4.2667,3.6656
罗,393.84,4.2659,3.4622
至,392.69,4.2647,3.7309
万,391.43,4.2633,3.6654
声,389.79,4.2615,3.704
布,389.68,4.2613,3.5987
音,389.17,4.2608,3.6576
期,387.33,4.2587,3.7057
条,387.14,4.2585,3.7035
消,386.48,4.2578,3.7135
买,385.24,4.2564,3.6615
病,384.96,4.256,3.6018
整,384.73,4.2558,3.7204
奇,383.25,4.2541,3.6898
弟,379.33,4.2496,3.549
犯,378.34,4.2485,3.6348
装,376.44,4.2463,3.7014
贝,375.57,4.2453,3.5973
您,374.91,4.2445,3.5038
送,374.67,4.2443,3.7033
怕,374.67,4.2443,3.7082
护,371.15,4.2402,3.6577
度,371.13,4.2401,3.7026
花,371.02,4.24,3.6922
节,370.98,4.24,3.6301
近,369.97,4.2388,3.7227
怪,369.93,4.2387,3.7023
持,369.36,4.2381,3.704
光,369.03,4.2377,3.6978
与,368.52,4.2371,3.6812
穿,366.67,4.2349,3.6862
愿,365.75,4.2338,3.7037
象,363.08,4.2306,3.6812
影,361.31,4.2285,3.6547
击,361.18,4.2283,3.626
使,361.07,4.2282,3.6913
二,358.96,4.2257,3.6906
喝,357.46,4.2239,3.6506
月,355.99,4.2221,3.6658
器,354.67,4.2204,3.5971
察,353.11,4.2185,3.5771
制,352.66,4.218,3.6831
嘛,352.58,4.2179,3.6325
哈,351.98,4.2171,3.5243
助,350.87,4.2158,3.6884
达,350.4,4.2152,3.6081
海,350.21,4.2149,3.5705
待,348.28,4.2126,3.7091
托,347.49,4.2116,3.6253
除,346.6,4.2105,3.7191
写,343.35,4.2064,3.6278
绝,341.67,4.2042,3.6993
界,341.47,4.204,3.669
帝,341.32,4.2038,3.587
姐,340.15,4.2023,3.5522
反,339.87,4.2019,3.6938
担,339.45,4.2014,3.7089
司,337.69,4.1992,3.5841
强,336.35,4.1974,3.6636
由,335.88,4.1968,3.6947
论,335.86,4.1968,3.6892
飞,335.54,4.1964,3.5505
亚,334.94,4.1956,3.4755
续,333.38,4.1936,3.6978
视,332.64,4.1926,3.6691
母,332.1,4.1919,3.6162
空,331.27,4.1908,3.6645
军,331.25,4.1908,3.4583
跑,330.8,4.1902,3.6536
阿,330.67,4.19,3.4749
尽,330.09,4.1893,3.7018
注,325.76,4.1835,3.6976
弄,325.48,4.1832,3.6857
密,324.52,4.1819,3.6293
线,323.86,4.181,3.6316
代,323.26,4.1802,3.6764
忙,323.01,4.1798,3.6908
坏,322.47,4.1791,3.7006
久,321.79,4.1782,3.6996
议,319.01,4.1744,3.6316
衣,318.97,4.1744,3.641
血,317.54,4.1724,3.5564
钟,317.2,4.172,3.6634
继,315.53,4.1697,3.6859
礼,315.3,4.1694,3.6034
数,314.98,4.1689,3.6646
份,314.98,4.1689,3.6686
疯,314.94,4.1689,3.669
平,314.66,4.1685,3.6788
止,314.51,4.1683,3.6872
十,314.49,4.1682,3.6208
拜,314.3,4.168,3.647
鬼,312.67,4.1657,3.5812
睡,311.67,4.1643,3.6273
啦,310.77,4.1631,3.5214
调,310.39,4.1625,3.6371
巴,308.38,4.1597,3.5156
兄,306.85,4.1575,3.5483
紧,306.82,4.1575,3.6727
站,305.93,4.1562,3.6567
品,305.67,4.1559,3.6273
英,304.13,4.1537,3.5987
罪,304.05,4.1536,3.5511
文,303.07,4.1522,3.5732
亮,302.23,4.151,3.6444
抓,302.23,4.151,3.6222
跳,301.7,4.1502,3.5459
联,301.38,4.1497,3.6035
混,299.57,4.1471,3.6113
便,298.5,4.1456,3.6839
狗,298.41,4.1454,3.4832
脑,297.47,4.1441,3.649
业,297.35,4.1439,3.6381
歌,296.06,4.142,3.4163
精,295.64,4.1414,3.6548
包,293.37,4.138,3.6611
转,293.33,4.138,3.6569
却,292.63,4.1369,3.6661
参,289.79,4.1327,3.62
院,289.57,4.1324,3.5797
务,288.53,4.1308,3.616
基,286.67,4.128,3.5758
台,286.16,4.1272,3.5678
另,285.48,4.1262,3.6882
恩,285.33,4.126,3.4064
书,285.22,4.1258,3.5606
统,285.11,4.1256,3.5231
风,283.96,4.1239,3.6435
况,283.28,4.1228,3.6584
四,282.7,4.122,3.6413
黑,282.23,4.1212,3.5898
否,282,4.1209,3.6556
险,281.4,4.1199,3.633
言,281.29,4.1198,3.6585
米,280.95,4.1193,3.4016
杰,280.52,4.1186,3.1827
校,280.14,4.118,3.4914
幸,279.86,4.1176,3.6644
传,279.33,4.1167,3.638
复,278.41,4.1153,3.6582
量,276.96,4.113,3.6445
首,275.98,4.1115,3.6184
改,275.74,4.1111,3.6598
忘,275.53,4.1108,3.6746
术,274.2,4.1087,3.5583
局,274.03,4.1084,3.5645
客,273.48,4.1075,3.6295
假,273.44,4.1075,3.6448
永,272.32,4.1057,3.648
维,272.09,4.1053,3.4648
岁,272.07,4.1053,3.6134
据,271.77,4.1048,3.5916
派,271.21,4.1039,3.5799
票,270.89,4.1034,3.4592
兰,266.26,4.0959,3.3986
恶,265.69,4.095,3.6189
烦,265.62,4.0949,3.666
取,264.92,4.0937,3.6616
游,264.11,4.0924,3.5882
糟,263.19,4.0909,3.6518
令,263.17,4.0909,3.5957
随,261.48,4.0881,3.6782
五,261.44,4.088,3.5945
圣,259.88,4.0854,3.4594
式,259.22,4.0843,3.6552
探,258.85,4.0837,3.4651
嘴,258.09,4.0824,3.6198
毒,257.38,4.0812,3.4689
越,256.85,4.0803,3.5621
律,256.78,4.0802,3.4832
费,256.53,4.0798,3.6291
科,255.48,4.078,3.5043
麻,255.4,4.0778,3.637
简,255.18,4.0775,3.6527
易,255.1,4.0773,3.6381
流,255.03,4.0772,3.6366
治,254.9,4.077,3.5362
唱,254.52,4.0763,3.3487
答,254.2,4.0758,3.6438
倒,253.52,4.0746,3.6516
划,253.43,4.0745,3.6012
控,253.32,4.0743,3.5964
味,251.98,4.072,3.6499
区,251.28,4.0708,3.5937
